CLV,Nombre,Dirección,Capacidad de personas,Capacidad de familias,Municipio,Responsable del H. Ayuntamiento,Ubicación
REF-ACA-19,Esc. Sec. David Alfaro Siqueiros,"Calle Juan R. Escudero S/N, Colonia AmpliaciÃ³n La Venta",280,70,Acapulco,"Aida ramos olea 
Tel. 7443748974

Matilde Sandra Marín Torres
Tel. 7441787046",https://maps.app.goo.gl/MMv6RpceYXRPrHqg9
REF-ACA-31,Esc. Prim. Mat. Emiliano Zapata,Calle Cervantes Delgado Col. Natividad,300,75,Acapulco,"Aldo Iván Carmona Hernández
Tel. Sin Dato",https://maps.app.goo.gl/aDVcMRCN6cY1Q4zm6
REF-ACA-08,Esc. Prim. NezahualcÃ³yotl,"Calle 8, Esq. Calle Zapata S/N, Col. ExtensiÃ³n Icacos",100,25,Acapulco,"Benigno Martínez arroyo
Tel. 744442202495",https://maps.app.goo.gl/8QZ39Ad6ThEMXQEA8
REF-ACA-36,Templo El Buen Pastor,"Av. Vicente Guerrero Esq. Calle 9 No.9, Col. Postal",250,62,Acapulco,"Cecilia E, Arredondo Ramírez.
Tel. 7443598598

Rubí Gálvez Ramírez
Tel. 7442582222",https://maps.app.goo.gl/bzHgZ46njJ5kvD829
REF-ACA-04,CetÃ­s No. 90,"Retorno EducaciÃ³n Esq. Alta Quebradora, Col. Renacimiento",440,110,Acapulco,"Elvira salgado Maldonado
Tel. 7443179794

Katya Vanessa Santiago Castro
Tel. 7441382842",https://maps.app.goo.gl/VYJBhzXhmYDxPpQ26
REF-ACA-02,Centro De Estudios Tec. Del Mar #18,Carr. AcÃ¡-Pie De La Cuesta Km 08 Col. JardÃ­n Palmas,200,50,Acapulco,"Engracia González Apresa
Tel. 7442118595

Edith Castañeda Quintana 
Tel. 7444152227",https://maps.app.goo.gl/23ydvtgdKxCPKW928
REF-ACA-09,"Esc. Prim. ""Guadalupe Victoria""",Guadalupe Victoria No.6 Col. El Pedregoso,150,37,Acapulco,"Eulalia Villalva González
Tel :7443402690 
Abrahám Fernández Nuñez 
Tel:7441234930 ",https://maps.app.goo.gl/yk97FNo94nXJtrnU7
REF-ACA-22,Esc. Sec. Fed. No. 3 Aztecalli,"Calle Ahuehuetes S/N, Col. JardÃ­n Azteca",450,112,Acapulco,"Félix Rodríguez Gallardo
TEL. 7441174605

Carlos Adalberto Alcaraz Navarrete
Tel.7444147543",https://maps.app.goo.gl/YLKxAwg84RXe91UeA
REF-ACA-11,Esc. Prim. Felicitas V. JimÃ©nez,"Calle Lerdo De Tejada S/N, Colonia Plan De Los Amates",150,37,Acapulco,"Gloria Mendoza Salazar
Tel. 7443323687

Ángeles Romero
Tel. 7441285522",https://maps.app.goo.gl/HNbUuqJ6g3SjvSy3A
REF-ACA-26,Esc. Sec. Tec. No.1 Juan de Dios BÃ¡tiz,Miramar No. 2 Colonia Fracc. Miramar,260,65,Acapulco,"Hermelinda Flores Pano
Tel. 7441740821

Beatriz López Hernández
Tel. 7441813983",https://maps.app.goo.gl/XSQPcbDwcNpm7WaJ7
REF-ACA-23,Esc. Sec. Gral. Ignacio ChÃ¡vez,Av. Ruiz Cortines Col. Alta Mira,200,50,Acapulco,"Jairo Carmona Barrera
Tel. 7445756116

José Ramon Tenango Chaires
Tel. 7443261149",https://maps.app.goo.gl/xMQv3yZDp9zQegXz9
REF-ACA-14,Esc. Prim. Juan Escutia,"Av. Granjas S/N, Col. Huertas De Sta. Elena",280,70,Acapulco,"José Antonio Arévalo Pérez
Tel. 7443703221

Isabel Corcuera Hernández
Tel. 7443708773",https://maps.app.goo.gl/eV7nsT4du95jwuTq8
REF-ACA-12,Esc. Prim. JosÃ© Guadalupe Zuno HernÃ¡ndez,"Av. Principal S/N, Col. Cumbres Del Llano Largo",100,25,Acapulco,"Julio Cesar Carmona Vergara
Tel. 744340691

Marlene Contreras Vázquez
Tel 74458306",https://maps.app.goo.gl/PiW4ahboW1ZYMTdL8
REF-ACA-10,"Esc. Prim. ""Plan De Ayutla""","San Isidro S/N, Col. San Isidro",180,45,Acapulco,"Ma. Del Rosario Zamacona Diaz
Tel. 7442397636

Joel Carrillo Cabrera
Tel. 7444301660",https://maps.app.goo.gl/e78TSSEbZpn2UYDc8
REF-ACA-39,Unidad Deportiva Jorge Campos,Calle Eje Central Y Vicente Guerrero S/N Col. Renacimiento,990,225,Acapulco,"Ma. Eugenia Sánchez Ávila
Tel. 7441819679

Diana cristino Jaimes
7443417240",https://maps.app.goo.gl/hj7cNgqt6iYPxrxQA
REF-ACA-03,CECATI No. 41,Carretera Pie De La Cuesta Km 6.5,60,15,Acapulco,"Ma. Prudente Ramos
Tel. 7442098030

Cesar Raúl Romo Baltierra
Tel. 7445338868",https://maps.app.goo.gl/wZJDkC6Ha455Y6xX6
REF-ACA-16,Esc. Prim. Plan De Ayala,"Entre Calle 10 Y 2 S/N, Col. Emiliano Zapata",360,90,Acapulco,"María de Jesús Cleto Manzanares
Tel. 7441216725

Daniela Coral Chino Salazar
Tel. 7444273161",https://maps.app.goo.gl/w8jR5T2LDWg118UN6
